2024-03-01 18:47:48.947 [warning] Running on the desktop; workspaceId=9b39e438b0bc9c0d49fa66aa334b7474; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:47:48.952 [info] [ GHPR] Not currently installed or enabled; waiting...
2024-03-01 18:51:06.685 [warning] Running on the desktop; workspaceId=79bb59ffd0684f402561c6ff0cbf0e50; storageUri=vscode-userdata:/home/mrv/.config/Code/User/globalStorage/ms-vscode.remote-repositories
2024-03-01 18:51:09.248 [info] [   86] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json)
2024-03-01 18:51:09.248 [info] [   86] fs.stat(vscode-vfs://github/Raphael-08/test/.vscode/settings.json) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:43.989 [info] [   87] fs.stat(vscode-vfs://github/Raphael-08/test)
2024-03-01 18:51:43.989 [info] [   87] fs.stat(vscode-vfs://github/Raphael-08/test) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:43.991 [info] [   88] fs.readDirectory(vscode-vfs://github/Raphael-08/test)
2024-03-01 18:51:43.991 [info] [   88] fs.readDirectory(vscode-vfs://github/Raphael-08/test) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:59.959 [info] [   89] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt)
2024-03-01 18:51:59.960 [info] [   89] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:59.963 [info] [   90] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt)
2024-03-01 18:51:59.963 [info] [   90] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:59.964 [info] [   91] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt)
2024-03-01 18:51:59.964 [info] [   91] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:59.964 [info] [   92] fs.stat(vscode-vfs://github/Raphael-08/test)
2024-03-01 18:51:59.964 [info] [   92] fs.stat(vscode-vfs://github/Raphael-08/test) took 0 ms (Provider query took 0 ms)
2024-03-01 18:51:59.965 [info] [   93] fs.writeFile(vscode-vfs://github/Raphael-08/test/another.txt) — 0, {"create":true,"overwrite":true,"unlock":false,"atomic":false}
2024-03-01 18:51:59.965 [info] [   94] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt)
2024-03-01 18:51:59.965 [info] [   94] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt) took 0 ms (Provider query took 0 ms)
2024-03-01 18:52:00.022 [info] [   93] fs.writeFile(vscode-vfs://github/Raphael-08/test/another.txt) took 57 ms
2024-03-01 18:52:00.037 [info] [   95] fs.stat(vscode-vfs://github/Raphael-08/test/another.txt)
